"351","O'Reilly Automotive, Inc.","ORLY","Consumer Cyclical","NMS"
"352","Occidental Petroleum Corporation","OXY","Energy","NYQ"
"353","Old Dominion Freight Line, Inc.","ODFL","Industrials","NMS"
"354","Omnicom Group Inc.","OMC","Communication Services","NYQ"
"355","ON Semiconductor Corporation","ON","Technology","NMS"
"356","ONEOK, Inc.","OKE","Energy","NYQ"
"357","Oracle Corporation","ORCL","Technology","NYQ"
"358","Otis Worldwide Corporation","OTIS","Industrials","NYQ"
"359","PACCAR Inc","PCAR","Industrials","NMS"
"360","Packaging Corporation of America","PKG","Consumer Cyclical","NYQ"
"361","Palantir Technologies Inc.","PLTR","Technology","NMS"
"362","Palo Alto Networks, Inc.","PANW","Technology","NMS"
"363","Paramount Global","PARA","Communication Services","NMS"
"364","Parker-Hannifin Corporation","PH","Industrials","NYQ"
"365","Paychex, Inc.","PAYX","Technology","NMS"
"366","Paycom Software, Inc.","PAYC","Technology","NYQ"
"367","PayPal Holdings, Inc.","PYPL","Financial Services","NMS"
"368","Pentair plc","PNR","Industrials","NYQ"
"369","PepsiCo, Inc.","PEP","Consumer Defensive","NMS"
"370","Pfizer Inc.","PFE","Healthcare","NYQ"
"371","PG&E Corporation","PCG","Utilities","NYQ"
"372","Philip Morris International Inc.","PM","Consumer Defensive","NYQ"
"373","Phillips 66","PSX","Energy","NYQ"
"374","Pinnacle West Capital Corporation","PNW","Utilities","NYQ"
"375","The PNC Financial Services Group, Inc.","PNC","Financial Services","NYQ"
"376","Pool Corporation","POOL","Industrials","NMS"
"377","PPG Industries, Inc.","PPG","Basic Materials","NYQ"
"378","PPL Corporation","PPL","Utilities","NYQ"
"379","Principal Financial Group, Inc.","PFG","Financial Services","NMS"
"380","The Procter & Gamble Company","PG","Consumer Defensive","NYQ"
"381","The Progressive Corporation","PGR","Financial Services","NYQ"
"382","Prologis, Inc.","PLD","Real Estate","NYQ"
"383","Prudential Financial, Inc.","PRU","Financial Services","NYQ"
"384","Public Service Enterprise Group Incorporated","PEG","Utilities","NYQ"
"385","PTC Inc.","PTC","Technology","NMS"
"386","Public Storage","PSA","Real Estate","NYQ"
"387","PulteGroup, Inc.","PHM","Consumer Cyclical","NYQ"
"388","Quanta Services, Inc.","PWR","Industrials","NYQ"
"389","QUALCOMM Incorporated","QCOM","Technology","NMS"
"390","Quest Diagnostics Incorporated","DGX","Healthcare","NYQ"
"391","Ralph Lauren Corporation","RL","Consumer Cyclical","NYQ"
"392","Raymond James Financial, Inc.","RJF","Financial Services","NYQ"
"393","RTX Corporation","RTX","Industrials","NYQ"
"394","Realty Income Corporation","O","Real Estate","NYQ"
"395","Regency Centers Corporation","REG","Real Estate","NMS"
"396","Regeneron Pharmaceuticals, Inc.","REGN","Healthcare","NMS"
"397","Regions Financial Corporation","RF","Financial Services","NYQ"
"398","Republic Services, Inc.","RSG","Industrials","NYQ"
"399","ResMed Inc.","RMD","Healthcare","NYQ"
"400","Revvity, Inc.","RVTY","Healthcare","NYQ"
"401","Rockwell Automation, Inc.","ROK","Industrials","NYQ"
"402","Rollins, Inc.","ROL","Consumer Cyclical","NYQ"
"403","Roper Technologies, Inc.","ROP","Technology","NMS"
"404","Ross Stores, Inc.","ROST","Consumer Cyclical","NMS"
"405","Royal Caribbean Cruises Ltd.","RCL","Consumer Cyclical","NYQ"
"406","S&P Global Inc.","SPGI","Financial Services","NYQ"
"407","Salesforce, Inc.","CRM","Technology","NYQ"
"408","SBA Communications Corporation","SBAC","Real Estate","NMS"
"409","Schlumberger Limited","SLB","Energy","NYQ"
"410","Seagate Technology Holdings plc","STX","Technology","NMS"
"411","Sempra","SRE","Utilities","NYQ"
"412","ServiceNow, Inc.","NOW","Technology","NYQ"
"413","The Sherwin-Williams Company","SHW","Basic Materials","NYQ"
"414","Simon Property Group, Inc.","SPG","Real Estate","NYQ"
"415","Skyworks Solutions, Inc.","SWKS","Technology","NMS"
"416","The J. M. Smucker Company","SJM","Consumer Defensive","NYQ"
"417","Smurfit Westrock Plc","SW","Consumer Cyclical","NYQ"
"418","Snap-on Incorporated","SNA","Industrials","NYQ"
"419","Solventum Corporation","SOLV","Healthcare","NYQ"
"420","The Southern Company","SO","Utilities","NYQ"
"421","Southwest Airlines Co.","LUV","Industrials","NYQ"
"422","Stanley Black & Decker, Inc.","SWK","Industrials","NYQ"
"423","Starbucks Corporation","SBUX","Consumer Cyclical","NMS"
"424","State Street Corporation","STT","Financial Services","NYQ"
"425","Steel Dynamics, Inc.","STLD","Basic Materials","NMS"
"426","STERIS plc","STE","Healthcare","NYQ"
"427","Stryker Corporation","SYK","Healthcare","NYQ"
"428","Super Micro Computer, Inc.","SMCI","Technology","NMS"
"429","Synchrony Financial","SYF","Financial Services","NYQ"
"430","Synopsys, Inc.","SNPS","Technology","NMS"
"431","Sysco Corporation","SYY","Consumer Defensive","NYQ"
"432","T-Mobile US, Inc.","TMUS","Communication Services","NMS"
"433","T. Rowe Price Group, Inc.","TROW","Financial Services","NMS"
"434","Take-Two Interactive Software, Inc.","TTWO","Communication Services","NMS"
"435","Tapestry, Inc.","TPR","Consumer Cyclical","NYQ"
"436","Targa Resources Corp.","TRGP","Energy","NYQ"
"437","Target Corporation","TGT","Consumer Defensive","NYQ"
"438","TE Connectivity plc","TEL","Technology","NYQ"
"439","Teledyne Technologies Incorporated","TDY","Technology","NYQ"
"440","Teradyne, Inc.","TER","Technology","NMS"
"441","Tesla, Inc.","TSLA","Consumer Cyclical","NMS"
"442","Texas Instruments Incorporated","TXN","Technology","NMS"
"443","Texas Pacific Land Corporation","TPL","Energy","NYQ"
"444","Textron Inc.","TXT","Industrials","NYQ"
"445","Thermo Fisher Scientific Inc.","TMO","Healthcare","NYQ"
"446","The TJX Companies, Inc.","TJX","Consumer Cyclical","NYQ"
"447","TKO Group Holdings, Inc.","TKO","Communication Services","NYQ"
"448","Tractor Supply Company","TSCO","Consumer Cyclical","NMS"
"449","Trane Technologies plc","TT","Industrials","NYQ"
"450","TransDigm Group Incorporated","TDG","Industrials","NYQ"
